co_ies,no_ies,sg_ies,sg_uf,co_municipio,no_municipio,no_sitio_ies
17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,3170206,Uberlândia,https://www.portalselecao.ufu.br/
8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,3171303,Viçosa,www.pse.ufv.br
596,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,MG,3121605,Diamantina,www.ufvjm.edu.br
27103,UNIVERSIDADE DO DISTRITO FEDERAL,UNDF,DF,5300108,Brasília,https://www.universidade.df.gov.br/
5242,UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL,UNEAL,AL,2700300,Arapiraca,https://www.uneal.edu.br/ingresso/sisu
40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA,2927408,Salvador,https://www.sisu.uneb.br/
719,UNIVERSIDADE DO ESTADO DE MATO GROSSO CARLOS ALBERTO REYES MALDONADO - UNEMAT,UNEMAT,MT,5102504,Cáceres,vestibular.unemat.br
18492,UNIVERSIDADE ESTADUAL DO PARANÁ,UNESPAR,PR,4106902,Curitiba,https://unespar.edu.br/matriculas
1126,UNIVERSIDADE ESTADUAL DO CENTRO OESTE,UNICENTRO,PR,4106902,Curitiba,www.unicentro.br/sisu
595,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,MG,3101607,Alfenas,https://www.unifal-mg.edu.br/ingresso
598,UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI,UNIFEI,MG,3132404,Itajubá,https://prg.unifei.edu.br/cops/sisu-2025/
591,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP,3550308,São Paulo,ingresso.unifesp.br
18440,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,UNIFESSPA,PA,1504208,Marabá,https://unifesspa.edu.br/
15001,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,UNILA,PR,4108304,Foz do Iguaçu,https://portal.unila.edu.br/
15497,UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,UNILAB,CE,2311603,Redenção,www.unilab.edu.br
367,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MG,3143302,Montes Claros,https://www.sisu.unimontes.br/
5322,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,UNIPAMPA,RS,4301602,Bagé,https://ingresso.unipampa.edu.br/
693,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,RJ,3304557,Rio de Janeiro,https://www.unirio.br/caeg/sisu-sistema-de-selecao-unificada-1
3984,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,PE,2611101,Petrolina,https://portais.univasf.edu.br/estudante/ingresso-discente
409,UNIVERSIDADE DE PERNAMBUCO,UPE,PE,2611606,Recife, https://processodeingresso.upe.pe.gov.br/processo2024/#sisu
588,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,PR,4106902,Curitiba,www.utfpr.edu.br/cursos/estudenautfpr/sisu
